Date,HDD,CDD,Precipitation,New Snow
2023-09-01,1,0,0.00,0.0
2023-09-02,0,4,0.00,0.0
2023-09-03,0,10,0.01,0.0
2023-09-04,0,9,0.00,0.0
2023-09-05,0,11,0.00,0.0
2023-09-06,0,16,0.00,0.0
2023-09-07,0,19,0.00,0.0
2023-09-08,0,15,0.00,0.0
2023-09-09,0,12,0.13,0.0
2023-09-10,0,6,0.20,0.0
2023-09-11,0,5,0.39,0.0
2023-09-12,0,7,0.09,0.0
2023-09-13,0,7,0.57,0.0
2023-09-14,0,6,0.00,0.0
2023-09-15,1,0,0.00,0.0
2023-09-16,0,1,0.07,0.0
2023-09-17,0,4,0.00,0.0
2023-09-18,0,0,1.52,0.0
2023-09-19,0,2,0.00,0.0
2023-09-20,0,2,0.00,0.0
2023-09-21,2,0,0.00,0.0
2023-09-22,2,0,0.00,0.0
2023-09-23,5,0,0.12,0.0
2023-09-24,3,0,0.31,0.0
2023-09-25,4,0,0.07,0.0
2023-09-26,10,0,0.00,0.0
2023-09-27,8,0,0.00,0.0
2023-09-28,7,0,0.00,0.0
2023-09-29,7,0,0.27,0.0
2023-09-30,6,0,,0.0
